date,nav,return,position
2025-01-02,1000000.0,0.0,0.0
2025-01-03,1000000.0,0.0,0.0
2025-01-06,1000000.0,0.0,0.0
2025-01-07,1000000.0,0.0,0.0
2025-01-08,1000000.0,0.0,0.0
2025-01-09,1000000.0,0.0,0.0
2025-01-10,1000000.0,0.0,0.0
2025-01-13,1000000.0,0.0,0.0
2025-01-14,1000000.0,0.0,0.0
2025-01-15,1000000.0,0.0,0.0
2025-01-16,1000000.0,0.0,0.0
2025-01-17,1000000.0,0.0,0.0
2025-01-20,999701.1343,-0.0002988656999999284,0.9965168246983751
2025-01-21,995046.1343000002,-0.004953865699999893,0.996500529794581
2025-01-22,976041.1343,-0.023958865699999943,0.996432389806504
2025-01-23,977148.9466,-0.022851053399999932,0.0
2025-01-24,977148.9466,-0.022851053399999932,0.0
2025-01-27,977148.9466,-0.022851053399999932,0.0
2025-02-05,977148.9466,-0.022851053399999932,0.0
2025-02-06,977148.9466,-0.022851053399999932,0.0
2025-02-07,977148.9466,-0.022851053399999932,0.0
2025-02-10,977148.9466,-0.022851053399999932,0.0
2025-02-11,977148.9466,-0.022851053399999932,0.0
2025-02-12,976856.7589,-0.02314324109999999,0.9970335887287475
2025-02-13,992298.7589,-0.007701241100000034,0.9970797515627124
2025-02-14,999256.7589,-0.0007432411000000139,0.9971000857645536
2025-02-17,996890.7589000001,-0.003109241099999882,0.9970932031678199
2025-02-18,999256.7589,-0.0007432411000000139,0.9971000857645536
2025-02-19,1010456.7589,0.010456758899999974,0.9971322286931361
2025-02-20,998556.7589,-0.0014432410999999368,0.9970980528906617
2025-02-21,1008503.7589000001,0.008503758900000102,0.9971266751616664
2025-02-24,1002105.7589,0.0021057588999999766,0.9971083302592922
2025-02-25,984556.7589,-0.01544324109999995,0.9970567883732395
2025-02-26,988763.7589000002,-0.011236241099999766,0.9970693111737592
2025-02-27,1006648.7589,0.00664875889999994,0.9971213803480307
2025-02-28,1017309.7589000001,0.017309758900000194,0.9971515471323764
2025-03-03,1007670.7589000002,0.007670758900000241,0.9971242999021194
2025-03-04,995833.7589000001,-0.004166241099999857,0.9970901178293041
2025-03-05,993215.7589000001,-0.006784241099999866,0.9970824477219236
2025-03-06,1020942.7589,0.02094275889999997,0.9971616832826923
2025-03-07,1031456.7589,0.031456758900000104,0.9971906152390814
2025-03-10,1032786.7589000001,0.03278675890000016,0.9971942331027883
2025-03-11,1050832.7589000002,0.05083275890000016,0.9972424166686299
2025-03-12,1046562.7589000001,0.04656275890000017,0.9972311656655489
2025-03-13,1043195.7589000002,0.04319575890000027,0.9972222290253023
2025-03-14,1106363.7589000002,0.10636375890000016,0.9973808262637947
2025-03-17,1113258.7589000002,0.11325875890000026,0.9973970481913266
2025-03-18,1103556.7589000002,0.10355675890000016,0.9973741641500264
2025-03-19,1111753.7589000002,0.11175375890000017,0.997393524531127
2025-03-20,1089556.7589000002,0.08955675890000014,0.9973404240978453
2025-03-21,1068381.7589000002,0.0683817589000002,0.9972877121161412
2025-03-24,1074856.7589000002,0.07485675890000021,0.9973040510970357
2025-03-25,1069606.7589000002,0.06960675890000023,0.9972908184471643
2025-03-26,1069636.6412,0.06963664120000002,0.0
2025-03-27,1069636.6412,0.06963664120000002,0.0
2025-03-28,1069636.6412,0.06963664120000002,0.0
2025-03-31,1069636.6412,0.06963664120000002,0.0
2025-04-01,1069636.6412,0.06963664120000002,0.0
2025-04-02,1069636.6412,0.06963664120000002,0.0
2025-04-03,1069636.6412,0.06963664120000002,0.0
2025-04-07,1069636.6412,0.06963664120000002,0.0
2025-04-08,1069636.6412,0.06963664120000002,0.0
2025-04-09,1069636.6412,0.06963664120000002,0.0
2025-04-10,1069636.6412,0.06963664120000002,0.0
2025-04-11,1069636.6412,0.06963664120000002,0.0
2025-04-14,1069636.6412,0.06963664120000002,0.0
2025-04-15,1069636.6412,0.06963664120000002,0.0
2025-04-16,1069636.6412,0.06963664120000002,0.0
2025-04-17,1069636.6412,0.06963664120000002,0.0
2025-04-18,1069636.6412,0.06963664120000002,0.0
2025-04-21,1069636.6412,0.06963664120000002,0.0
2025-04-22,1069636.6412,0.06963664120000002,0.0
2025-04-23,1069636.6412,0.06963664120000002,0.0
2025-04-24,1069636.6412,0.06963664120000002,0.0
2025-04-25,1069636.6412,0.06963664120000002,0.0
2025-04-28,1069636.6412,0.06963664120000002,0.0
2025-04-29,1069636.6412,0.06963664120000002,0.0
2025-04-30,1069636.6412,0.06963664120000002,0.0
2025-05-06,1069636.6412,0.06963664120000002,0.0
2025-05-07,1069636.6412,0.06963664120000002,0.0
2025-05-08,1069316.0636,0.06931606360000009,0.9993228722314684
2025-05-09,1078409.0636000005,0.07840906360000055,0.9993285816816271
2025-05-12,1087733.0636000005,0.08773306360000044,0.9993343370499339
2025-05-13,1077793.0636000005,0.07779306360000038,0.9993281979403523
2025-05-14,1109076.0636000005,0.10907606360000055,0.9993471470318724
2025-05-15,1106990.0636000005,0.10699006360000052,0.9993459168028611
2025-05-16,1094474.0636000005,0.09447406360000055,0.9993384369496899
2025-05-19,1069869.0636000005,0.06986906360000056,0.9993232222291165
2025-05-20,1074783.0636000005,0.07478306360000042,0.9993263165149112
2025-05-21,1071262.0636000005,0.07126206360000054,0.99932410226722
2025-05-22,1070262.1059000005,0.0702621059000006,0.0
2025-05-23,1070262.1059000005,0.0702621059000006,0.0
2025-05-26,1070262.1059000005,0.0702621059000006,0.0
2025-05-27,1070262.1059000005,0.0702621059000006,0.0
2025-05-28,1070262.1059000005,0.0702621059000006,0.0
2025-05-29,1070262.1059000005,0.0702621059000006,0.0
2025-05-30,1070262.1059000005,0.0702621059000006,0.0
2025-06-03,1070262.1059000005,0.0702621059000006,0.0
2025-06-04,1070262.1059000005,0.0702621059000006,0.0
2025-06-05,1070262.1059000005,0.0702621059000006,0.0
2025-06-06,1070262.1059000005,0.0702621059000006,0.0
2025-06-09,1070262.1059000005,0.0702621059000006,0.0
2025-06-10,1070262.1059000005,0.0702621059000006,0.0
2025-06-11,1070262.1059000005,0.0702621059000006,0.0
2025-06-12,1070262.1059000005,0.0702621059000006,0.0
2025-06-13,1070262.1059000005,0.0702621059000006,0.0
2025-06-16,1070262.1059000005,0.0702621059000006,0.0
2025-06-17,1070262.1059000005,0.0702621059000006,0.0
2025-06-18,1070262.1059000005,0.0702621059000006,0.0
2025-06-19,1070262.1059000005,0.0702621059000006,0.0
2025-06-20,1070262.1059000005,0.0702621059000006,0.0
2025-06-23,1070262.1059000005,0.0702621059000006,0.0
2025-06-24,1070262.1059000005,0.0702621059000006,0.0
2025-06-25,1070262.1059000005,0.0702621059000006,0.0
2025-06-26,1069968.9368700006,0.0699689368700005,0.9133256736019915
2025-06-27,1058131.9368700003,0.0581319368700004,0.9123560742866094
2025-06-30,1062632.9368700008,0.06263293687000071,0.9127273081303463
2025-07-01,1059538.9368700003,0.059538936870000336,0.91247245981921
2025-07-02,1062688.9368700003,0.06268893687000032,0.9127319070967751
2025-07-03,1066888.9368700003,0.0668889368700003,0.9130754536249347
2025-07-04,1071522.9368700006,0.07152293687000055,0.9134513749739247
2025-07-07,1063458.9368700006,0.06345893687000048,0.9127950937692508
2025-07-08,1067245.9368700006,0.06724593687000047,0.9131045303934505
2025-07-09,1069184.9368700006,0.0691849368700006,0.9132621180190865
2025-07-10,1074518.9368700006,0.07451893687000055,0.9136926919686102
2025-07-11,1074868.9368700006,0.07486893687000062,0.9137207954487414
2025-07-14,1072488.9368700006,0.07248893687000058,0.9135293300640902
2025-07-15,1063668.9368700006,0.06366893687000053,0.9128123106209174
2025-07-16,1063689.9368700008,0.0636899368700008,0.9128140319321881
2025-07-17,1067413.9368700006,0.06741393687000063,0.9131182068486565
2025-07-18,1081868.9368700006,0.08186893687000052,0.9142790464635142
2025-07-21,1086068.9368700006,0.0860689368700005,0.9146105429207196
2025-07-22,1101454.9368700006,0.10145493687000062,0.9158033308802118
2025-07-23,1108818.9368700006,0.10881893687000055,0.9163625062791714
2025-07-24,1120018.9368700006,0.12001893687000065,0.9171988670752584
2025-07-25,1094468.9368700006,0.09446893687000046,0.9152659031738093
2025-07-28,1083030.9368700003,0.0830309368700004,0.9143710177494843
2025-07-29,1083268.9368700006,0.08326893687000059,0.9143898308965082
2025-07-30,1090576.9368700006,0.09057693687000046,0.9149635080894295
2025-07-31,1071137.9368700006,0.07113793687000047,0.91342026672961
2025-08-01,1067576.3978400007,0.06757639784000058,0.0
2025-08-04,1067576.3978400007,0.06757639784000058,0.0
2025-08-05,1067576.3978400007,0.06757639784000058,0.0
2025-08-06,1067576.3978400007,0.06757639784000058,0.0
2025-08-07,1067576.3978400007,0.06757639784000058,0.0
2025-08-08,1067576.3978400007,0.06757639784000058,0.0
2025-08-11,1067576.3978400007,0.06757639784000058,0.0
2025-08-12,1067576.3978400007,0.06757639784000058,0.0
2025-08-13,1067576.3978400007,0.06757639784000058,0.0
2025-08-14,1067576.3978400007,0.06757639784000058,0.0
2025-08-15,1067576.3978400007,0.06757639784000058,0.0
2025-08-18,1067576.3978400007,0.06757639784000058,0.0
2025-08-19,1067279.4488100007,0.06727944881000059,0.9274329240609331
2025-08-20,1075679.4488100007,0.07567944881000077,0.9279996016511414
2025-08-21,1074454.4488100007,0.07445444881000074,0.9279175130264677
2025-08-22,1085444.4488100007,0.08544444881000057,0.9286473399031058
2025-08-25,1103910.4488100004,0.10391044881000044,0.9298409133698391
2025-08-26,1097806.4488100004,0.09780644881000033,0.929450816312881
2025-08-27,1074279.4488100007,0.0742794488100007,0.9279057707975399
2025-08-28,1072949.4488100004,0.07294944881000043,0.9278164046816008
2025-08-29,1096679.4488100007,0.09667944881000068,0.9293783166138105
2025-09-01,1093949.4488100007,0.09394944881000078,0.9292020770299303
2025-09-02,1104589.4488100004,0.10458944881000054,0.9298840407235117
2025-09-03,1097064.4488100004,0.09706444881000054,0.9294031003429097
2025-09-04,1091541.4488100007,0.09154144881000059,0.9290458929485124
2025-09-05,1098779.4488100007,0.09877944881000067,0.9295132895924839
2025-09-08,1111540.4488100007,0.11154044881000069,0.9303225097270038
2025-09-09,1114179.4488100007,0.11417944881000075,0.9304875449886277
2025-09-10,1126086.448810001,0.12608644881000086,0.9312225549895873
2025-09-11,1127129.4488100004,0.12712944881000054,0.9312861988551803
2025-09-12,1121879.4488100007,0.12187944881000057,0.9309646425093598
2025-09-15,1121249.4488100004,0.12124944881000044,0.9309258533931064
2025-09-16,1110665.4488100007,0.11066544881000073,0.9302676166860308
2025-09-17,1105779.4488100007,0.10577944881000056,0.9299594969925071
2025-09-18,1087948.2081800005,0.08794820818000049,0.0
2025-09-19,1087948.2081800005,0.08794820818000049,0.0
2025-09-22,1087948.2081800005,0.08794820818000049,0.0
2025-09-23,1087948.2081800005,0.08794820818000049,0.0
2025-09-24,1087948.2081800005,0.08794820818000049,0.0
2025-09-25,1087948.2081800005,0.08794820818000049,0.0
2025-09-26,1087948.2081800005,0.08794820818000049,0.0
2025-09-29,1087948.2081800005,0.08794820818000049,0.0
2025-09-30,1087948.2081800005,0.08794820818000049,0.0
2025-10-09,1087948.2081800005,0.08794820818000049,0.0
2025-10-10,1087948.2081800005,0.08794820818000049,0.0
2025-10-13,1087948.2081800005,0.08794820818000049,0.0
2025-10-14,1087948.2081800005,0.08794820818000049,0.0
2025-10-15,1087948.2081800005,0.08794820818000049,0.0
2025-10-16,1087641.4080500007,0.08764140805000076,0.9402612776884882
2025-10-17,1066704.4080500007,0.06670440805000077,0.9390887413985871
2025-10-20,1068755.4080500007,0.06875540805000058,0.9392056334306185
2025-10-21,1071786.4080500007,0.07178640805000058,0.9393775592207646
2025-10-22,1069294.4080500007,0.06929440805000064,0.9392362780906244
2025-10-23,1075790.4080500007,0.0757904080500007,0.9396031907667085
2025-10-24,1063204.4080500007,0.06320440805000072,0.9388882254832176
2025-10-27,1056491.4080500007,0.056491408050000746,0.9384999181678857
2025-10-28,1059405.9890200007,0.059405989020000716,0.0
2025-10-29,1059405.9890200007,0.059405989020000716,0.0
2025-10-30,1059405.9890200007,0.059405989020000716,0.0
2025-10-31,1059405.9890200007,0.059405989020000716,0.0
2025-11-03,1059405.9890200007,0.059405989020000716,0.0
2025-11-04,1059405.9890200007,0.059405989020000716,0.0
2025-11-05,1059405.9890200007,0.059405989020000716,0.0
2025-11-06,1059405.9890200007,0.059405989020000716,0.0
2025-11-07,1059405.9890200007,0.059405989020000716,0.0
2025-11-10,1059103.9369900008,0.05910393699000083,0.9506527781035957
2025-11-11,1056786.9369900008,0.0567869369900007,0.9505445845698457
2025-11-12,1061098.9369900008,0.061098936990000796,0.9507455571124624
2025-11-13,1064759.9369900008,0.06475993699000071,0.9509149103245311
2025-11-14,1055113.9369900008,0.05511393699000067,0.9504661675315391
2025-11-17,1065193.9369900008,0.06519393699000076,0.9509349094328431
2025-11-18,1068693.9369900008,0.06869393699000081,0.9510955988604155
2025-11-19,1065200.9369900008,0.06520093699000085,0.9509352318655618
2025-11-20,1062470.9369900008,0.062470936990000725,0.9508091608246101
2025-11-21,1062113.9369900008,0.062113936990000784,0.9507926266949146
2025-11-24,1051893.9369900008,0.051893936990000666,0.9503145372816255
2025-11-25,1046748.9369900008,0.04674893699000071,0.9500703223637474
2025-11-26,1049599.6464600007,0.04959964646000059,0.0
2025-11-27,1049599.6464600007,0.04959964646000059,0.0
2025-11-28,1049599.6464600007,0.04959964646000059,0.0
2025-12-01,1049599.6464600007,0.04959964646000059,0.0
2025-12-02,1049599.6464600007,0.04959964646000059,0.0
2025-12-03,1049599.6464600007,0.04959964646000059,0.0
2025-12-04,1049599.6464600007,0.04959964646000059,0.0
2025-12-05,1049599.6464600007,0.04959964646000059,0.0
2025-12-08,1049599.6464600007,0.04959964646000059,0.0
2025-12-09,1049599.6464600007,0.04959964646000059,0.0
2025-12-10,1049599.6464600007,0.04959964646000059,0.0
2025-12-11,1049599.6464600007,0.04959964646000059,0.0
2025-12-12,1049599.6464600007,0.04959964646000059,0.0
2025-12-15,1049599.6464600007,0.04959964646000059,0.0
2025-12-16,1049599.6464600007,0.04959964646000059,0.0
2025-12-17,1049303.7264300007,0.049303726430000694,0.9400520317944405
2025-12-18,1047833.7264300006,0.04783372643000061,0.9399679311293834
2025-12-19,1049903.6264300006,0.04990362643000057,0.9400862852108697
2025-12-22,1048685.6264300006,0.04868562643000063,0.9400166981937752
2025-12-23,1048405.6264300005,0.04840562643000057,0.9400006783212351
2025-12-24,1043533.6264300008,0.043533626430000805,0.9397205563512139
2025-12-25,1052822.6264300006,0.052822626430000685,0.9402523987888639
2025-12-26,1052794.6264300006,0.052794626430000546,0.9402508097488063
2025-12-29,1044303.6264300006,0.04430362643000074,0.9397650024016104
2025-12-30,1035707.6264300006,0.035707626430000694,0.9392650736320014
2025-12-31,1026640.4186300007,0.026640418630000662,0.0
