end_date,eps,bps,ocfps,undist_profit_ps,roe,roa,grossprofit_margin,netprofit_margin,op_margin,debt_to_assets,current_ratio,quick_ratio,assets_turn,operating_cashflow,investing_cashflow,financing_cashflow,ocf_to_revenue,ocf_to_profit,total_assets,total_liab,total_equity,revenue,net_profit,monetary_funds,total_shares
20150331,3.82,50.6004,1.8491,43.7225,7.8494,6.7302,93.2142,52.8325,70.8227,12.853,5.7196,3.949,0.1274,2111633649.4,-854045288.53,-34641852.91,24.1044,0.4562,68769020638.42,8838872511.46,59930148126.96,8760367928.22,4628320416.91,28420683403.89,
20150630,6.91,53.6817,4.2922,46.7764,13.7504,11.5631,92.611,51.6786,68.8981,11.9937,6.1491,4.2683,0.2238,4901688343.28,-1290715410.0,-34942456.67,30.2842,0.586,72337744204.93,8675962015.39,63661782189.54,16185651569.47,8364520508.61,30236504717.38,
20150930,9.09,47.6422,9.0936,41.2719,20.1709,15.6356,92.4529,51.0939,68.6558,20.1655,3.6676,2.6191,0.306,11423393327.06,-1782994523.04,-5587555381.52,48.1303,0.942,77559034189.14,15640191631.06,61918842558.08,23734319250.48,12126789326.87,30536117619.71,
20151231,12.34,50.8885,13.8803,43.6866,26.4205,19.0669,92.2279,49.1974,66.2513,23.2526,3.2418,2.3435,0.3876,17436340141.72,-2048790264.59,-5588019638.61,52.1315,1.0596,86301463422.77,20067293001.48,66234170421.29,33446859045.58,16454996625.22,36800749895.06,
20160331,3.89,54.7834,5.9195,47.5787,7.3664,5.7471,92.3414,50.8452,70.263,21.7765,3.5023,2.5629,0.113,7436044334.98,-421345315.83,-508507286.54,72.5406,1.4267,90690449521.88,19749190532.26,70941258989.62,10250867583.69,5212078652.48,43775736151.7,
20160630,7.01,51.7267,10.8295,43.8277,13.6576,9.8143,91.8814,50.0448,68.099,29.5075,2.6245,1.9699,0.1961,13603962283.99,-555507847.55,-3283073780.99,72.6024,1.4507,95546499172.84,28193337489.46,67353161683.38,18737617091.82,9377202963.15,47528057097.45,
20160930,9.92,54.6433,25.8998,46.7436,18.8062,12.6778,91.6439,48.4158,65.92,32.2052,2.4671,1.9121,0.2619,32535332631.69,-773487389.12,-8284063910.35,118.1696,2.4407,105146032285.13,33862528824.06,71283503461.07,27532735151.02,13330191781.89,61999742903.47,
20161231,13.31,58.0276,29.8132,49.9267,24.4385,15.877,91.2251,44.6535,60.4298,32.7942,2.436,1.8789,0.3556,37451249647.05,-1102500804.2,-8334512252.23,93.2665,2.0887,112934538280.41,37035995425.69,75898542854.72,40155084412.93,17930643109.88,66854962118.22,
20170331,4.87,62.9023,4.8631,54.801,8.0614,5.5008,91.1561,47.0397,63.1776,30.6986,2.6264,2.0578,0.1169,6108975096.56,-300339692.11,,43.9071,0.9334,118978719020.08,36524831704.5,82453887315.58,13913411369.3,6544833459.07,72708333794.74,
20170630,8.96,60.1996,5.5209,51.3821,15.151,10.0051,89.6187,47.2444,63.2456,34.3234,2.3581,1.8533,0.2118,6935360410.36,-470688613.17,-364000000.0,27.204,0.5758,120382739967.95,41319489297.49,79063250670.46,25493896745.03,12044438696.03,73635347053.15,
20170930,15.91,67.152,18.1395,58.334,25.4166,16.7174,89.9331,48.0169,64.3709,30.8336,2.6611,2.1311,0.3482,22786767198.19,-747775213.35,-8893177880.8,51.2208,1.0667,127780036133.2,39399190859.07,88380845274.13,44487374571.44,21361469066.81,80964678997.12,
20171231,21.56,72.8003,17.635,63.6932,32.9542,21.5485,89.7962,47.5026,63.7705,28.6683,2.9099,2.3381,0.4536,22153036084.13,-1120645214.6,-8899177880.8,36.2791,0.7637,134610116875.08,38590489400.0,96019627475.08,61062756866.16,29006423236.0,87868869913.34,
20180331,6.77,79.5718,3.9289,70.4652,8.8887,6.7933,91.3055,49.6353,66.2001,21.7665,3.8229,3.0696,0.1369,4935500707.47,-591910958.52,,26.8303,0.5405,134404941948.3,29255260792.92,105149681155.38,18395256845.96,9130535753.3,87211373700.73,
20180630,12.55,74.3495,14.118,61.198,17.0563,13.025,90.9421,48.0018,64.9048,25.7171,3.2262,2.5648,0.2713,17735030962.19,-739781676.98,-13854919610.83,50.3101,1.0481,129914832498.21,33410357927.63,96504474570.58,35251464783.33,16921352445.58,83660170568.71,
20180930,19.69,81.4916,22.4656,68.3381,25.522,18.0576,91.1238,48.3386,65.1963,27.8568,3.0465,2.513,0.3736,28221285915.54,-1023123815.11,-16435393160.06,51.3401,1.0621,147147672376.16,40990610327.23,106157062048.93,54969266451.42,26571354958.67,100750857255.34,
20181231,28.02,89.8255,32.9448,76.4067,34.4643,23.6662,91.142,49.0025,66.507,26.5493,3.2485,2.6946,0.483,41385234406.72,-1628962704.56,-16441093160.06,53.6082,1.094,159846674736.01,42438186813.48,117408487922.53,77199384110.22,37829617756.81,112074791420.06,
20190331,8.93,98.7566,0.9467,85.3396,9.4737,7.4525,92.1113,53.0046,71.1559,19.1172,4.5107,3.7247,0.1406,1189210084.58,-618303783.52,,5.29,0.0998,159888176447.28,30566115048.51,129322061398.77,22480525254.69,11915721111.34,111684417477.61,
20190630,15.88,91.351,19.1745,75.5726,17.5322,12.8369,91.8668,51.482,68.9729,27.5644,3.1372,2.6087,0.2493,24086920146.43,-1136383617.75,-19032229837.96,58.5022,1.1364,165121648977.73,45514872823.37,119606776154.36,41172681309.94,21196527550.11,115557859884.77,
20190930,24.24,99.7122,21.7445,83.9342,25.5819,19.9398,91.4894,51.036,68.1991,19.5191,4.4177,3.6678,0.3907,27315401962.03,-2040270177.9,-19288148252.44,43.0105,0.8427,162550409174.43,31728364035.1,130822045139.33,63508663046.7,32412303335.96,112728862159.17,
20191231,32.8,108.2714,35.99,92.2564,33.1177,24.0218,91.3028,49.4855,66.4475,22.4899,3.8698,3.2545,0.4854,45210612632.56,-3165685743.25,-19284402829.22,50.8817,1.0282,183042372042.5,41165991813.85,141876380228.65,88854337488.76,43970000792.51,13251817237.85,
20200331,10.42,118.6947,1.8334,102.6798,9.1849,7.6327,91.6722,54.7972,73.3665,14.2546,6.1169,5.138,0.1393,2303109387.5,-420225315.75,-451234400.0,9.1037,0.1661,181624733882.27,25889910825.91,155734823056.36,25298492025.94,13862853487.24,19682973020.9,
20200630,17.99,109.2396,10.047,90.3867,16.5436,13.8954,91.4628,52.4332,70.2999,17.236,4.8922,4.004,0.265,12620963440.03,-973044191.77,-23734215533.06,27.6567,0.5275,172197875165.58,29679987489.44,142517887676.14,45634371275.58,23927546476.23,25452397286.65,
20200930,26.93,118.1759,19.9897,99.3228,23.7832,19.4229,91.325,51.5282,68.97,16.474,5.1796,4.2922,0.3769,25111002819.99,-1313883405.3,-23878305736.27,36.0921,0.7004,184579196650.8,30407538525.41,154171658125.39,69574876860.53,35850673342.16,27075309623.01,
20201231,37.17,128.4214,41.1313,109.5324,31.4108,23.2073,91.4092,50.5375,67.9997,21.4039,4.0648,3.4327,0.4592,51669068693.03,-1805227155.72,-24127536908.26,52.7272,1.0433,213395810527.46,45675127426.18,167720683101.28,97993240501.21,49523329882.4,36091090060.9,
20210331,11.11,139.5276,-1.1821,120.6409,8.2915,6.8637,91.6763,52.6356,70.245,15.2071,5.7487,4.8327,0.1304,-1484892858.66,-1423592204.62,-41557504.17,-5.291,-0.1005,215218185984.61,32728418219.03,182489767765.58,28064735731.77,14772030035.62,50743255374.4,
20210630,19.63,128.7518,17.2898,106.5797,15.2628,12.3112,91.3784,51.6677,69.1456,21.2828,4.0522,3.3691,0.2383,21719470732.97,-3871592479.38,-26408124658.25,42.821,0.8288,212868536822.67,45304445091.2,167564091731.47,50721582926.18,26206683856.15,54197716644.16,
20210930,29.67,138.7906,29.2568,116.6196,22.204,17.6122,91.1914,51.3606,68.8135,19.5313,4.4324,3.7329,0.3429,36752297355.92,-4266102236.42,-26528291765.02,47.6973,0.9287,224702253941.13,43887313587.77,180814940353.36,77053154965.96,39574961191.11,50701984661.77,
20211231,41.76,150.8834,50.9702,127.9391,29.9036,21.8368,91.5403,50.9029,68.2879,22.8127,3.8119,3.2353,0.429,64028676147.37,-5562445704.34,-26564141388.96,58.4928,1.1491,255168195159.9,58210688454.56,196957506705.34,109464278563.89,55720529956.46,51810243607.11,
20220331,13.73,164.6102,-5.4737,141.667,8.7025,7.1436,92.3677,54.0936,72.3981,14.482,5.9767,5.0412,0.1321,-6876059093.79,-1240126213.35,-3846050.69,-20.719,-0.383,251301891385.48,36393614935.7,214908276449.78,33187160227.05,17952116145.8,56375875091.88,
20220630,23.72,152.9242,-0.0089,125.3397,15.6135,12.9687,92.1091,52.3276,70.0409,17.2578,4.948,4.0993,0.2478,-11163941.3,-1705454386.04,-28318526518.81,-0.0188,-0.0004,239849179963.43,41392730000.97,198456449962.46,59443518511.24,31105364072.66,58048264720.81,
20220930,35.34,164.5511,7.4871,136.9667,22.4101,18.6933,91.8744,51.5827,69.0103,13.8484,6.1942,5.1594,0.3624,9405337008.75,-2670952435.78,-29864845719.65,10.4753,0.2031,247756923862.35,34310347852.5,213446576009.85,89785880318.36,46313993773.41,58145037381.83,
20221231,49.93,157.2046,29.214,128.3858,32.4105,25.6879,91.8667,51.2536,68.896,19.4745,4.4147,3.6235,0.5012,36698595830.03,-5536826334.9,-57424528979.83,28.771,0.5613,254500826096.02,49562744832.16,204938081263.86,127553959355.97,65376039957.88,58274318733.23,
20230331,16.55,173.759,4.1751,144.9397,10.0028,8.3303,92.5956,54.66,72.8451,12.3562,6.9427,5.6683,0.1524,5244796293.93,218477578.11,-23119951.23,13.3187,0.2437,258390782822.05,31927208619.42,226463574202.63,39379301807.75,21524725630.16,72450733950.67,
20230630,28.64,159.9399,24.1898,129.9407,18.0614,15.4517,91.7981,52.5897,70.2827,13.3925,6.3536,5.0747,0.2938,30387178194.96,-480141685.34,-32597493410.31,42.8066,0.814,241604264016.34,32356783924.38,209247480091.96,70987206095.38,37331971189.28,70521275705.21,
20230930,42.09,173.3872,39.8042,143.3907,25.4632,20.9203,91.7075,52.0597,69.4781,14.14,5.9588,4.8408,0.4019,50002007018.66,-8316439457.94,-34724722802.48,47.4781,0.912,262076424771.47,37057625012.06,225018799759.41,105315900448.1,54827171371.97,70641010014.72,
20231231,59.49,171.6836,53.0118,137.7038,36.1778,28.4274,91.9649,51.4886,68.8818,17.9843,4.6239,3.6704,0.5521,66593247721.09,-9724414015.16,-58889101991.94,44.2303,0.859,272699660092.25,49043190797.43,223656469294.82,150560330316.45,77521476277.8,69070136376.12,
20240331,19.16,190.8392,7.3137,156.861,10.5688,8.7146,92.6133,53.528,71.3295,12.9543,6.481,5.2018,0.1628,9187422415.09,-766514727.33,-11756332.28,19.7644,0.3692,285524543268.38,36987774717.85,248536768550.53,46484738134.23,24882347326.74,74197126391.43,
20240630,33.19,173.9978,29.1529,138.3314,19.2038,15.4641,91.7603,51.7391,68.9636,18.3242,4.5714,3.6312,0.2989,36621833812.63,-2898860221.14,-38815639978.07,43.8841,0.8482,279207261166.63,51162451517.35,228044809649.28,83451164646.53,43176914345.12,56840349530.82,
20240930,48.42,189.2293,35.3618,153.5615,26.833,21.9797,91.5314,51.1941,68.2221,13.6285,6.1569,4.9116,0.4293,44421386217.45,-605409055.95,-38989316464.81,36.079,0.7047,286770722957.69,39082558719.52,247688164238.17,123122542625.45,63031462239.55,60084745614.27,
20241231,68.64,185.5647,73.606,145.5085,38.4283,29.8834,91.9312,51.2993,68.7296,19.0448,4.4541,3.4925,0.5825,92463692168.43,-1785202630.71,-71067506484.81,53.0961,1.035,298944579918.7,56933264798.1,242011315120.6,174144069958.25,89334728025.9,59295822956.89,
20250331,21.38,205.6665,7.0126,166.8805,10.9255,8.8916,91.9736,53.9906,71.9948,14.143,6.0749,4.8258,0.1647,8809195646.38,-624221953.78,-1607488478.75,17.124,0.3172,312368697395.05,44178362224.66,268190335170.39,51443450583.77,27774636011.61,52199240419.27,
20250630,36.18,189.9753,10.4435,152.5645,19.2486,16.0771,91.2993,51.5806,68.9059,14.7549,5.7297,4.4466,0.3117,13119061031.33,-314350963.69,-39892813631.78,14.4017,0.2792,292257789095.51,43122202832.76,249135586262.75,91093762553.97,46986681449.24,51644880716.93,
20250930,51.53,205.2831,30.502,168.3942,26.3688,21.9529,91.2934,51.1053,68.3629,12.8088,6.6193,5.1783,0.4296,38196802155.27,-5423368095.74,-43243803506.28,29.1793,0.571,304738184929.86,39033160057.01,265705024872.85,130903889634.88,66898804746.17,51753057846.45,
